"iso","umd_tree_cover_gain__ha","umd_tree_cover_extent_2000__ha"
"ABW",19.23963739470540540,18197.51125791323917997
"AFG",10741.02422482655747117,64385715.38638368795929413
"AGO",1224126.46675231125217421,124742297.51717785395343892
"AIA",69.881411677835234,8332.24776609411431551
"ALA",2582.83075217598978024,150643.27693975240367524
"ALB",16472.16112647933572093,2873537.20724878202651797
"AND",120.082399069312066105,45196.410731844280428305
"ARE",595.95297282758785497,7120447.90264910815446699
"ARG",1107734.576367457463817536,278010122.069233467544133946
"ARM",12255.932624601849557789,2969008.679990218235260589
"ATF",0.0,4361.769312734769533
"ATG",361.55605071972229334,43575.65842128847302706
"AUS",1600600.188111302788012862,768791340.120067735198189136
"AUT",36316.52719808878825612,8385801.90550019625299732
"AZE",30269.882317933230315654,8623532.539268608604102754
"BDI",16374.25461548253872087,2693531.44182182013608101
"BEL",41686.744018450098902826,3070744.164067859830716476
"BEN",181408.39271698563521969,11542318.34442302885264634
"BES",270.18286859865455952,32365.98588800562388966
"BFA",142766.37714478879406177,27341710.74522516479932977
"BGD",317861.62089954607786899,13938437.34061682027533029
"BGR",106350.801634553832285214,11158730.954921594683466574
"BHR",62.25233474110893222,71517.71355012742498431
"BHS",6316.42972839423149550,1338763.00509959469084957
"BIH",53275.53914975819225339,5106883.29435690178741715
"BLM",2.56538798209960985,2468.52481734927446195
"BLR",963615.69739023190955228,20706912.08808545961567358
"BLZ",18602.43941163260862410,2198946.13206762222772238
"BMU",0.0,6808.11859427956629654
"BOL",617222.47171365091360562,108339284.56963706548979821
"BRA",8062335.57461459045937951,850035649.73939377144889570
"BRB",376.69489843677216858,43466.14610412592783089
"BRN",7531.55107414680817012,577778.77387918106266352
"BTN",28220.58000733569955321,3876296.12215415163013142
"BWA",13303.41288058775615726,57788401.20904697584916504
"CAF",482448.63775915425307328,62019959.33841693125138422
"CAN",16965178.684733249435111083,983422993.937904642018551642
"CHE",15072.472488924155876767,4124549.641870490690842887
"CHL",731818.620416131769027636,75735291.610012338853964706
"CHN",6689626.495746815863852866,938223515.692180686474932196
"CIV",881678.48578559062400742,32165794.10811167991208787
"CMR",351062.81360330972316865,46604005.88968880543238996
"COD",1591178.53891315056196501,232912780.76088603630020073
"COG",113139.38404588108643993,34173222.79362298312143628
"COL",1085199.37499554684070046,113675874.94466178999042238
"COM",81.77428284127931460,167304.82830115608046370
"CPV",0.0,409097.906602069996957
"CRI",57877.19638542550471251,5117666.97282901992407802
"CUB",164350.80909144424011498,11073121.95109048617715993
"CUW",175.9189116600378448,43776.98739261684389052
"CYM",496.93336332073373637,28039.82870751687233143
"CYP",3222.19070979899609550,571955.85590313847062859
"CZE",77299.754204474476555221,7883558.885974127330009341
"DEU",342762.129878717033156605,35783855.986941352174464905
"DJI",1.4301999910964627,2186335.7649968279184120
"DMA",79.94926556201118327,75428.07801474676937441
"DNK",95181.26445331252593715,4314471.77057476241103253
"DOM",54804.49516410666432392,4809195.18837632798461834
"DZA",89151.500110427051139975,230804377.307475210688855395
"ECU",218567.54676523246970296,25611545.43210181999797242
"EGY",4206.14317207634801745,98376439.43319306758264712
"ERI",10676.05426510608714265,12045733.19758749766552720
"ESH",0.8468465702973091,26732059.5521597578035121
"ESP",381023.964879487470195306,50604278.841078571556433926
"EST",165131.04992309602560435,4548974.01267704478012293
"ETH",403581.63840458765397689,112951806.95088766695387248
"FIN",1357021.83955906903868645,33693917.99093809833892543
"FJI",5409.64180532559738982,1808230.97430812811691654
"FLK",0.0,1239764.463493973903277
"FRA",695647.70157919124478510,54951497.53228478141291541
"FRO",0.0,143971.29834117737858464
"FSM",0.0,10266.9444925617826798
"GAB",50031.07070191963062345,26454969.88269717417689493
"GBR",473122.873353555860286096,24548497.615154857212304626
"GEO",93536.92706770944118483,6984457.38667327383712187
"GGY",78.857734235605459,8844.9375590155704649
"GHA",312123.82513429460102177,23832413.12140842407224786
"GIB",0.5617889158376737,721.21646588172669397
"GIN",272657.02250911430070571,24481606.68352769318199486
"GLP",1509.21540676873983024,165028.80176981184865791
"GMB",15326.74161420890152589,1067050.75194433734054318
"GNB",43268.84090738373271620,3388205.00461437069788117
"GNQ",5166.85145047425327303,2695935.33829353170368917
"GRC",71537.221570146780409276,13257505.410981748478299736
"GRD",85.03143324627713086,35953.33668168480720841
"GRL",0.0,12409768.809413021059993
"GTM",291032.32192894381185978,10915098.49020758173031901
"GUF",10102.61297458694140040,8330096.72653049228874046
"GUY",30502.23772629815240530,20974416.13835187410408471
"HKG",676.04778131099003875,112913.21583203569121362
"HND",137965.26680554896500833,11228979.89758699405960478
"HRV",59572.58595417800881845,5707840.16868147032665395
"HTI",13832.43045707082758978,2710683.58727077816600605
"HUN",207300.87243978195365019,9305263.74442724739928692
"IDN",4882137.55646065333239563,189024469.02198021591653680
"IMN",999.7870196545062304,57966.5095725230717024
"IND",1881688.64455582907331212,315279651.30503404546146000
"IRL",284262.89319541873277693,7036644.645937796412800095
"IRN",49762.475642412021367374,162173902.839995747135653964
"IRQ",9456.84849983953905668,44535864.69401226304194768
"ISL",0.0,10222425.8295589208793
"ISR",5317.68468925090198145,2215883.36642866453857814
"ITA",189386.546773231944535062,30075442.783975134527676226
"JAM",5832.93846082224107044,1099979.93279540543433754
"JEY",110.4040032499891312,12512.5519569385072807
"JOR",871.67344393303915589,8911879.30131102806465789
"JPN",221004.47684493642812166,37240326.656746931253186614
"KAZ",71223.572197710569880297,273053036.224314668272830897
"KEN",117012.53516486072234461,58598335.71896742417008363
"KGZ",67691.2415436680943043,19864898.7038508804403284
"KHM",147334.16125753272767375,18135960.79359207033768849
"KIR",0.0,689.8485050325128
"KNA",426.33041180369330664,26717.78772642997453815
"KOR",109265.365474692737322996,10022829.791974269926980476
"KWT",51.4357078574425,1738893.7953499291160218
"LAO",101748.46294826671747703,23000147.78672117890552668
"LBN",6369.40228857948524117,1023803.86081603577509185
"LBR",57761.74345626595618632,9591801.58297116022576974
"LBY",1498.7101261687205534,161606184.8479434851567487
"LCA",143.49987878137315234,61447.62916553652958624
"LIE",56.4065988457747364,16203.8093219298395699
"LKA",60079.26929598401445392,6583727.01456335688641449
"LSO",2973.22491214435912371,3054531.16285639394813421
"LTU",241547.688524281800887396,6501662.939354114125403816
"LUX",2851.12466126178176986,258155.73939616083919909
"LVA",290488.61391638902769118,6470996.26092465430766036
"MAC",6.78150295188585026,3412.78642429265888476
"MAF",24.31125724492295528,5616.34278553873862317
"MAR",81645.78759483327663693,41348767.35079896419431463
"MCO",0.33567793345052089,235.29748447853303349
"MDA",36546.361901639079442837,3390780.839077732011091467
"MDG",173321.89871404435157031,59144707.32516676705494664
"MDV",31.49006502178277061,27912.71303579204295581
"MEX",1423107.45321750248219084,195185464.54582011582703861
"MKD",12568.2741485670637805,2482514.9576145228655185
"MLI",203580.14219867487207099,125119256.16729544430809249
"MLT",11.26710014282118142,32334.79077928860013270
"MMR",636627.02667951483769765,66929667.32947999559863092
"MNE",9784.048704420480856459,1333523.258734443252338959
"MNG",78600.815627037301191461,156624744.504993053957930461
"MOZ",583188.46153004259441947,78729716.65135534670819743
"MRT",711.41649652089025756,104117150.64117220880730776
"MSR",249.9012457279933635,10061.8220791477144255
"MTQ",678.09978795636684471,111787.95517227370654146
"MUS",0.0,191366.76446961125977732
"MWI",41602.13901933629010668,11802885.39490328558766714
"MYS",1004944.63015622797003001,32938348.75983515681814601
"MYT",249.09055181689280365,39165.17965126974166638
"NAM",15114.36772122342380182,82385622.18475385332910173
"NCL",1854.90601037851764950,1882559.40746865298932085
"NER",5781.69425133671069876,118366970.16952197787067476
"NFK",0.0,4062.59887483270595
"NGA",927800.63884119127911879,90840998.02039910579505444
"NIC",142444.73111873747067883,12821978.47609522371813539
"NLD",60819.453515602882805896,3766566.364398996481925896
"NOR",476523.096905705629852869,32512221.025825925759129135
"NPL",174007.64751295124867079,14766249.54440743510477958
"NRU",0.0,2215.23352633937021
"NZL",434874.566806696248686560,26716575.124389169030258738
"OMN",1548.26885274104029365,30933274.08645123193694769
"PAK",133480.85229940231604791,87417630.59556704688241101
"PAN",84108.66154540973284801,7510419.90445353344608852
"PER",430186.26203671655146419,129281868.51759540466884916
"PHL",172161.29730404570255265,29585658.16289541150159429
"PLW",135.28405934021320985,48743.20538078799849972
"PNG",266144.89986407095945547,46363061.21418391834081200
"POL",892072.30041273957078670,31239917.80009552583457498
"PRI",7140.67270191117171380,897037.27464474162385122
"PRK",288491.652592703899155084,12275519.138587365184053638
"PRT",168606.877363079973149944,8955505.678182833179232515
"PRY",642487.58238079792628703,39958667.52153217811334936
"PSE",1697.12868418470963461,621996.68332012785288232
"QAT",37.96315468056858946,1162493.79962663975301285
"REU",0.0,251271.105014711464427
"ROU",223889.810884063819301665,23833793.638779258809514215
"RUS",37220539.178898169072508116,1689455451.854777696967868696
"RWA",16061.38518342748774258,2527769.91218262234065847
"SAU",7598.97211793814601595,191598433.63238646155370123
"SDN",216597.57419147461380742,187213491.71256349005603880
"SEN",77187.31442563111196781,19688982.71259515433081832
"SGP",1976.96960527272734191,69703.69605878368988985
"SJM",0.0,5442472.3736774274374
"SLB",4916.63294620979433180,2853324.00584823563609251
"SLE",102136.73155822499448877,7260135.88614751958795912
"SLV",14647.37595586827835952,2042272.85894926502481850
"SMR",19.122840950470916,6122.352960187078972
"SOM",4188.83161384897686286,63353849.52120363459526821
"SPM",31.72227115641060113,22663.41677143620588113
"SRB",76226.61138955583869866,7823140.49142832759888596
"SSD",1082860.74180561738244049,62809870.69840365239578621
"STP",0.0,100217.9877254075333102
"SUR",23723.90906661343200039,14642556.86529227783814155
"SVK",35796.77192060566012774,4909915.804720572586704907
"SVN",7767.574300407009670235,1998090.785493070172895445
"SWE",1671285.358177381404050157,45004558.106551216031918757
"SWZ",23455.06045134042088949,1738333.06301442088001487
"SXM",16.48019212719292612,3801.38751521779961728
"SYC",1.44203420977484819,20267.93208728904960801
"SYR",5710.70335158107143274,18691798.39213449517427951
"TCA",63.76660102721355412,99152.01584845890178509
"TCD",256621.77792954612763508,126995174.50108099673654284
"TGO",47915.66471573475230300,5699519.20201679268585169
"THA",1842370.57709205472897440,51405448.59427833268626620
"TJK",19711.95912170937977921,14211295.40572036706885741
"TKM",419.04664956114807497,48959209.55421508492344859
"TLS",11133.81520283901581643,1491565.39233698834553237
"TTO",3320.42459689642333114,515899.59454438768386982
"TUN",10133.39479431073687688,15486458.27095303237381254
"TUR",473795.005441811372058622,78070340.890014740721540422
"TUV",0.0,49.9008349886126798
"TWN",29314.53569833736440402,3640651.39732410823163930
"TZA",557235.92354902457651291,94057690.73100684326741909
"UGA",185026.62413671625454381,24143952.93930348743363318
"UKR",926362.40517788714618446,60136109.70821625099427346
"UMI",4.458698645033634,541.679762804993440
"URY",654495.29825661516982185,17746574.34434791138777671
"USA",13986699.785170793342185703,947295610.248254931909823509
"UZB",43149.05843603098858635,44755388.10019691681342325
"VAT",0.057600842180989584,52.878039684036315584
"VCT",126.81963699811635817,39788.97162862953255511
"VEN",491357.39952644619998460,91249225.52623253281928632
"VGB",23.89673458256293573,16932.04449944635290892
"VIR",209.24081167112185019,36213.91572681769019620
"VNM",1004758.62532272423666360,32927599.94752574173395969
"VUT",302.55253250262154223,1231886.10315649539897858
"XAD",41.99967457316406049,23448.38132255777329116
"XCA",300.24272628830718993,37158133.71155808653355244
"XCL",0.0,1008.639098371928953
"XKO",9293.1955517340401111,1091976.44794592226844668
"XNC",1628.39062103368359573,331406.91415764448658773
"XPI",0.0,1969.2127161159839097
"XSP",0.0,188.15293746538872091
"YEM",7046.67695153340728737,45220898.29137349484046281
"ZAF",388240.89605188421931143,121971018.80353453701643380
"ZMB",768156.81122546214585175,75049201.88692677665023511
"ZWE",151989.06844558775368362,39068111.13498097586330037
